NombreMedio,CódigoMedio,Amplitud,PropiedadLegal,NumArticulosPublicados,FollowersInicioAño,FollowersFinAño,TendenciaFollowers,DiversidadLexicalAnual_2017
24 Horas Noticias,24HorasTVN,N,Estado Chileno,48409,3087888,3286603,"0,06","421,38"
TVN,TVN,N,Estado Chileno,15467,2734900,2910624,"0,06","183,83"
Tele 13 Noticias,T13,N,Grupo Canal 13,35293,2697825,2869408,"0,06","348,41"
CNN Chile,CNNChile,N,Time Warner,22507,2617238,2814705,"0,08","256,79"
Radio BioBio,biobio,N,BIO-BIO comunicaciones,47417,2513741,2756031,"0,10","362,29"
Radio Cooperativa,Cooperativa,N,Compañía Chilena de Comunicaciones,90564,2480889,2638045,"0,06","481,1"
Canal 13,canal13,N,Grupo Luksic,3893,1929492,2089537,"0,08","66,2"
La Tercera,latercera,N,Grupo Copesa,79898,1745495,1849215,"0,06","568,38"
EMOL,Emol,N,El Mercurio S.A.P.,73647,1669999,1805524,"0,08","209,65"
Radio ADN ,adnradiochile,N,Ibero Americana Radio Chile,32954,1514634,1660965,"0,10","323,59"
The Clinic,thecliniccl,N,Ediciones y Publicaciones Bobby S.A. ,13030,1445828,1637257,"0,13","330,47"
El Mostrador,elmostrador,N,La Plaza S.A.,22968,1304390,1533717,"0,18","377,2"
Chilevision ,chilevision ,N,Time Warner,17848,1142182,1264464,"0,11","193,88"
Terra,terraChile,N,Terra Networks Chile S.A.,4440,1167081,1190512,"0,02","174,4"
Mega,Mega,N,Bethia,17950,842524,1016622,"0,21","131,18"
Ahora Noticias,ahoranoticiasAN,N,Bethia,20475,866670,1012851,"0,17","252,32"
CIPER Chile,ciper,N,Fundacion CIPER- Grupo Copesa,630,687435,902201,"0,31","114,28"
Publimetro Chile,PublimetroChile,N,Metro International,68376,827223,876749,"0,06","440,16"
La Cuarta,lacuarta,N,Grupo Copesa,13524,743366,763174,"0,03","263,03"
Deportes 13,deportes13cl,N,Grupo Luksic,19245,600380,610516,"0,02","127,06"
La Segunda,La_Segunda,N,El Mercurio S.A.P.,2438,544811,563406,"0,03","156,78"
La Red,LaRedTV,N,Albavisión (MX),8581,475649,531088,"0,12","87,18"
El Dínamo,el_dinamo,N,Ediciones Giro País SpA,19547,329960,418425,"0,27","246,92"
Chilevisión Deportes,chvdeportes,N,Time Warner,1430,348053,351803,"0,01","49,73"
La Nación,nacioncl,N,Empresa Periodistica La Nación S.A.,13208,305100,318346,"0,04","288,89"
Qué Pasa,revistaQP,N,Grupo Copesa,4840,289077,298495,"0,03","127,49"
La Hora,DiarioLaHora,N,Grupo Copesa,11655,280674,296059,"0,05","232,36"
El Ciudadano,El_Ciudadano,N,Sociedad Periodística El Ciudadano,10936,249019,277703,"0,12","268,78"
Cadena Chile ,CadenaChile,N,Vocación-Comunitaria,895,271844,277201,"0,02","53,36"
El Grafico Chile,ElGraficoChile,N,Metro International,28722,257548,268826,"0,04","230,87"
Difamadores,difamadores,N,Eduardo Mardones,1029,245330,248538,"0,01","81,54"
Bio Bio Deportes,biobiodeportes,N,Grupo Mochiatti,17403,210940,235075,"0,11","200,55"
Emol Deportes,Emol_Deportes,N,El Mercurio S.A.P.,8372,212049,220974,"0,04","45,87"
La Serena Online,LaSerenaOnline,L,La Serena Online,3731,147725,212759,"0,44","132,59"
Soy Chile ,soychilecl,N,El Mercurio S.A.P.,27356,191175,208424,"0,09","190,71"
Diario Financiero,Dfinanciero,N,Grupo Claro,13278,116925,133828,"0,14","197,25"
El quinto poder,elquintopoder,N,Fundacion Democracia y Desarrollo,4679,124406,130323,"0,05","172,38"
Mercurio Valparaiso,mercuriovalpo,N,El Mercurio S.A.P,12271,107157,129761,"0,21","105,83"
Glamorama ,GlamoramaCL,N,Grupo Copesa,3223,117320,121128,"0,03","180,18"
Diario El Dia (Reg Coquimbo) ,eldia_cl,L,Diario ELDIA,8470,90981,106078,"0,17","210,72"
El Periscopio,ElPeriscopioCL,N,Trayectos Agencia de Comunicaciones Ltda,11180,105003,105532,"0,01","161,93"
El Observatodo,elobservatodo,L,Grupo Mi Voz Red de Diarios Ciudadanos,8016,84397,99838,"0,18","172,35"
Diario El Sur,elsurcl ,L,Diario El Sur S.A,3330,83799,95662,"0,14","30,41"
Diario-Radio Uchile,uchileradio,N,Universidad de Chile,7722,83919,94999,"0,13","186,6"
Soy Concepción,soyconcepcion,L,El Mercurio S.A.P,4259,74208,94205,"0,27","53,12"
Pudahuel,RadioPudahuel,N,Ibero Americana Radio Chile,3264,62465,88523,"0,42","69,06"
El Mercurio Valpo,soyvalparaiso,L,El Mercurio S.A.P,6218,69161,84203,"0,22","72,6"
El Austral de la Araucanía,AustralTemuco,L,El Mercurio S.A.P,4215,72125,83479,"0,16","55,02"
HoyxHoy,hoyxhoycl,N,El Mercurio S.A.P.,4920,82201,83193,"0,01","183,84"
Radio Duna,RadioDuna,N,Grupo Copesa,13450,77742,82363,"0,06","150,1"
Zero,radiozero977,N,Grupo Copesa,7366,75272,80399,"0,07","165,49"
Revista Capital,revistacapital,N,Grupo Claro,2757,74368,80101,"0,08","141,74"
Radio Villa Francia,rvfradiopopular,N,Centro Cultural de Comunicación y Educación Radiofónica ''Chasqui'',1323,68909,79900,"0,16","79,15"
Chilevisión Noticias,chv_noticias,N,Time Warner,17961,50192,77309,"0,54","224,89"
El desconcierto,eldesconcierto,N,Ediciones y Publicaciones El Buen Aire S.A.,14708,46187,74403,"0,61","291,33"
Emol TV ,EmolTV,N,El Mercurio S.A.P.,4415,65852,67772,"0,03","30,85"
Radio Paloma  Talca,RADIOPALOMAFM,L,Núcleo de emisoras Paloma,1781,57662,67531,"0,17","102,95"
Red Mi Voz,RedMiVoz,N,Grupo Mi Voz Red de Diarios Ciudadanos,25910,65432,67071,"0,03","296,06"
Radio Agricultura,AgriculturaFM,N,Sociedad Nacional de Agricultura,9141,55697,65861,"0,18","166,79"
Diario Pulso,pulso_tw,N,Grupo Copesa,15946,53630,64516,"0,20","225,81"
Diario Estrategia,Estrategiacl,N,Editorial Gestion,376,55635,61664,"0,11","21,52"
